Sample	alpha	popSize	density
0	1.0	1.0	-20.803298503771646
1	1.0475	1.0	-21.350325320302083
2	1.095	1.0	-21.982150939135046
3	1.1425	1.0	-22.705762690431534
4	1.19	1.0	-23.528948344555243
5	1.2375	1.0	-24.460359671372327
6	1.2850000000000001	1.0	-25.509588869504984
7	1.3325	1.0	-26.687260653526454
8	1.38	1.0	-28.0051444374048
9	1.4275	1.0	-29.476293657110112
10	1.475	1.0	-31.115223610127142
11	1.5225	1.0	-32.93814675976317
12	1.57	1.0	-34.963298341629496
13	1.6175000000000002	1.0	-37.211412032721626
14	1.665	1.0	-39.70646109184687
15	1.7125	1.0	-42.47690470363633
16	1.76	1.0	-45.5579853985299
17	1.8075	1.0	-48.99647900889712
18	1.855	1.0	-52.8621433354831
19	1.9024999999999999	1.0	-57.28237124063092
20	1.95	1.0	-62.6001149482676
